ACTUAL ;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
Australia-Portraits-FIFA-World-Cup-Qatar-2022.png;Mathew Ryan;Portero;.png;Mathew Ryan.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (1).png;Andrew Redmayne;Portero;.png;Andrew Redmayne.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (1)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (2).png;Danny Vukovic;Portero;.png;Danny Vukovic.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (2)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (8).png;Aziz Behich;Defensor;.png;Aziz Behich.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (8)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (3).png;Milos Degenek;Defensor;.png;Milos Degenek.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (3)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (10).png;Thomas Deng;Defensor;.png;Thomas Deng.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (10)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (11).png;Joel King;Defensor;.png;Joel King.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (11)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (4).png;Nathaniel Atkinson;Defensor;.png;Nathaniel Atkinson.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (4)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (6).png;Fran Karacic;Defensor;.png;Fran Karacic.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (6)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (9).png;Harry Souttar;Defensor;.png;Harry Souttar.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (9)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (5).png;Kye Rowles;Defensor;.png;Kye Rowles.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (5)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (17).png;Craig Goodwin;Defensor;.png;Craig Goodwin.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (17)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (20).png;Aaron Mooy;Volante;.png;Aaron Mooy.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (20)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (23).png;Jackson Irvine;Volante;.png;Jackson Irvine.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (23)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (19).png;Ajdin Hrustic;Volante;.png;Ajdin Hrustic.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (19)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (7).png;Bailey Wright;Volante;.png;Bailey Wright.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (7)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (22).png;Cameron Devlin;Volante;.png;Cameron Devlin.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (22)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (21).png;Riley McGree;Volante;.png;Riley McGree.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (21)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (24).png;Keanu Baccus;Volante;.png;Keanu Baccus.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (24)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (14).png;Awer Mabil ;Delantero;.png;Awer Mabil .png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (14)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (12).png;Mathew Leckie;Delantero;.png;Mathew Leckie.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (12)
432015.png;Marco Tilio;Delantero;.png;Marco Tilio.png;Australia;432015
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (13).png;James Maclaren;Delantero;.png;James Maclaren.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (13)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (18).png;Jason Cummings;Delantero;.png;Jason Cummings.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (18)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (15).png;Mitchell Duke;Delantero;.png;Mitchell Duke.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (15)
Australia-Portraits-FIFA-World-Cup-Qatar-2022 (16).png;Garang Kuol;Delantero;.png;Garang Kuol.png;Australia;Australia-Portraits-FIFA-World-Cup-Qatar-2022 (16)
1441665544.png;DT James Arnold;DT;.png;DT James Arnold.png;Australia;1441665544
1443091999.png;André Onana;Portero;.png;André Onana.png;Cameroon;1443091999
1443091942.png;Simon Ngapandouetnbu;Portero;.png;Simon Ngapandouetnbu.png;Cameroon;1443091942
1443091973.png;Devis Epassy;Portero;.png;Devis Epassy.png;Cameroon;1443091973
1443093839.png;Jean-Charles Castelletto;Defensor;.png;Jean-Charles Castelletto.png;Cameroon;1443093839
1443092573.png;Enzo Ebosse;Defensor;.png;Enzo Ebosse.png;Cameroon;1443092573
1443092600.png;Collins Fai;Defensor;.png;Collins Fai.png;Cameroon;1443092600
1443092701.png;Nouhou Tolo;Defensor;.png;Nouhou Tolo.png;Cameroon;1443092701
1443092956.png;Olivier Mbaizo;Defensor;.png;Olivier Mbaizo.png;Cameroon;1443092956
1443092996.png;Nicolas Nkoulou;Defensor;.png;Nicolas Nkoulou.png;Cameroon;1443092996
1443092734.png;Christopher Wooh;Defensor;.png;Christopher Wooh.png;Cameroon;1443092734
1443092016.png;Olivier Ntcham;Volante;.png;Olivier Ntcham.png;Cameroon;1443092016
1443093727.png;Gael Ondoa;Volante;.png;Gael Ondoa.png;Cameroon;1443093727
1443092904.png;Martin Hongla;Volante;.png;Martin Hongla.png;Cameroon;1443092904
1443092769.png;Pierre Kunde;Volante;.png;Pierre Kunde.png;Cameroon;1443092769
1443092860.png;Samuel Oum Gouet;Volante;.png;Samuel Oum Gouet.png;Cameroon;1443092860
1443093055.png;André-Frank Zambo Anguissa;Volante;.png;André-Frank Zambo Anguissa.png;Cameroon;1443093055
1443093122.png;Moumi Ngamaleu;Volante;.png;Moumi Ngamaleu.png;Cameroon;1443093122
1443093900.png;Jérôme Ngom Mbekeli;Volante;.png;Jérôme Ngom Mbekeli.png;Cameroon;1443093900
1443093764.png;Souaibou Marou;Delantero;.png;Souaibou Marou.png;Cameroon;1443093764
1443092549.png;Christian Bassogog;Delantero;.png;Christian Bassogog.png;Cameroon;1443092549
1443092641.png;Bryan Mbeumo;Delantero;.png;Bryan Mbeumo.png;Cameroon;1443092641
1443092811.png;Jean-Pierre Nsame;Delantero;.png;Jean-Pierre Nsame.png;Cameroon;1443092811
1443093506.png;Georges-Kévin Nkoudou;Delantero;.png;Georges-Kévin Nkoudou.png;Cameroon;1443093506
1443093953.png;Karl Toko Ekambi;Delantero;.png;Karl Toko Ekambi.png;Cameroon;1443093953
1443093024.png;Vincent Aboubakar;Delantero;.png;Vincent Aboubakar.png;Cameroon;1443093024
Eric-Maxim-Choupo-Moting.png;Eric Maxim Choupo-Moting;Delantero;.png;Eric Maxim Choupo-Moting.png;Cameroon;Eric-Maxim-Choupo-Moting
1443091910.png;DT Song Bahanag;;.png;DT Song Bahanag.png;Cameroon;1443091910
1442830156.png;Thibaut Courtois    ;Portero;.png;Thibaut Courtois    .png;Belgium;1442830156
1442830179.png;Simon Mignolet    ;Portero;.png;Simon Mignolet    .png;Belgium;1442830179
1442830192.png;Koen Casteels    ;Portero;.png;Koen Casteels    .png;Belgium;1442830192
1442831258.png;Toby Alderweireld    ;Defensor;.png;Toby Alderweireld    .png;Belgium;1442831258
1442831205.png;Arthur Theate;Defensor;.png;Arthur Theate.png;Belgium;1442831205
1442830885.png;Wout Faes    ;Defensor;.png;Wout Faes    .png;Belgium;1442830885
1442831389.png;Jan Vertonghen    ;Defensor;.png;Jan Vertonghen    .png;Belgium;1442831389
1442831098.png;Thomas Meunier    ;Defensor;.png;Thomas Meunier    .png;Belgium;1442831098
1442830230.png;Timothy Castagne    ;Defensor;.png;Timothy Castagne    .png;Belgium;1442830230
1442830845.png;Zeno Debast    ;Defensor;.png;Zeno Debast    .png;Belgium;1442830845
1442830273.png;Kevin de Bruyne    ;Mediocampista;.png;Kevin de Bruyne    .png;Belgium;1442830273
1442830251.png;Hans Vanaken    ;Mediocampista;.png;Hans Vanaken    .png;Belgium;1442830251
1442831162.png;Youri Tielemans    ;Mediocampista;.png;Youri Tielemans    .png;Belgium;1442831162
1442830927.png;Leander Dendoncker    ;Mediocampista;.png;Leander Dendoncker    .png;Belgium;1442830927
1442831239.png;Amadou Onana    ;Mediocampista;.png;Amadou Onana    .png;Belgium;1442831239
1442830873.png;Yannick Carrasco    ;Mediocampista;.png;Yannick Carrasco    .png;Belgium;1442830873
1442831359.png;Axel Witsel    ;Mediocampista;.png;Axel Witsel    .png;Belgium;1442831359
1442830290.png;Charles de Ketelaere    ;Mediocampista;.png;Charles de Ketelaere    .png;Belgium;1442830290
1442831271.png;Leandro Trossard    ;Mediocampista;.png;Leandro Trossard    .png;Belgium;1442831271
1442831048.png;Thorgan Hazard    ;Mediocampista;.png;Thorgan Hazard    .png;Belgium;1442831048
1442831418.png;Romelu Lukaku    ;Delantero;.png;Romelu Lukaku    .png;Belgium;1442831418
1442831198.png;Michy Batshuayi    ;Delantero;.png;Michy Batshuayi    .png;Belgium;1442831198
1442831124.png;Dries Mertens    ;Delantero;.png;Dries Mertens    .png;Belgium;1442831124
1442831074.png;Eden Hazard    ;Delantero;.png;Eden Hazard    .png;Belgium;1442831074
1442831190.png;Lois Openda    ;Delantero;.png;Lois Openda    .png;Belgium;1442831190
1442830967.png;Jeremy Doku    ;Delantero;.png;Jeremy Doku    .png;Belgium;1442830967
1442830144.png;DT Martínez Montoliú;DT;.png;DT Martínez Montoliú.png;Belgium;1442830144
1441944281.png;Jordan Pickford;Portero;.png;Jordan Pickford.png;England;1441944281
1441944240.png;Nick Pope;Portero;.png;Nick Pope.png;England;1441944240
1441944075.png;Aaron Ramsdale;Portero;.png;Aaron Ramsdale.png;England;1441944075
1441945119.png;Kyle Walker;Defensor;.png;Kyle Walker.png;England;1441945119
1441945288.png;John Stones;Defensor;.png;John Stones.png;England;1441945288
1441945256.png;Harry Maguire;Defensor;.png;Harry Maguire.png;England;1441945256
1441944369.png;Eric Dier;Defensor;.png;Eric Dier.png;England;1441944369
1441945154.png;Kieran Trippier;Defensor;.png;Kieran Trippier.png;England;1441945154
1441945575.png;Luke Shaw;Defensor;.png;Luke Shaw.png;England;1441945575
1441945174.png;Trent Alexander-Arnold;Defensor;.png;Trent Alexander-Arnold.png;England;1441945174
1441945220.png;Conor Coady;Defensor;.png;Conor Coady.png;England;1441945220
1441945140.png;Ben White;Defensor;.png;Ben White.png;England;1441945140
1441945188.png;Jordan Henderson;Mediocampista;.png;Jordan Henderson.png;England;1441945188
